Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
COVID-546,2791,717.5,962,18148,4818,13044,20880.5
COVID-525,340,204,604.5,400,215,939.5,841
COVID-536,2426,12447,897,3156,3367,7146.5,19048
COVID-547,1585.5,20212,1719,9393,3324,7574.5,25827
COVID-526,3153,6251.5,1946,11085.5,9697,10596.5,30831
COVID-537,1737,521,1163.5,3174,4346,13818.5,9786
COVID-548,11261,1523,2769,3596.5,14368,27856,25527.5
COVID-527,4073,31096.5,1588,15166.5,8416,12877.5,34590
COVID-538,2894,674,1332.5,22460,7357,17987,19186
COVID-549,2403,1508,5897,6652.5,2081,20869,20385
COVID-528,2156,1137.5,1190,3456,4681.5,8530,14282
COVID-539,3713.5,1318,2004,24328,7547.5,9245,20477
COVID-550,2522.5,1149,1640.5,1286.5,3973,7796,16901
140412,4734,741,922.5,4634,4243,12290.5,13023
140413,1045,1076,1110.5,6840,3449,1489,11706.5
140415,3471,775,986,4751,5875,16801,6191.5
140416,3554,1413,1605,11222,10978,16480,23337
140417,6436,1833,3234.5,8613.5,3286,8104.5,11551
140418,918,484.5,299,12868,2457,12794,10707
140399,1193,1127.5,1390,25666,2616,12732,19855
140400,2033.5,452,531.5,9955.5,2854,5777,9326
140401,5506.5,869.5,721,20131,6545,4634,31477
140402,5411,2404.5,730,15761,4391,11832,22022
140541,2251.5,2428.5,5334,6638,1302.5,4653,11721
140540,2925,2163,1371,3438,8857,16935,14893.5
140539,2606.5,954.5,966,5005.5,3437,4343.5,6740
140538,1907,580.5,1245,8829,5725.5,21100,22264.5
140537,2914,3383.5,1734.5,2463,5573,6748,13059.5
140535,2284,972.5,2206,4348,3003,6937.5,16398.5
140536,2531,1514.5,1775,6803,6374,6256.5,14667
140546,7840.5,1837,3537,12293,1972,4525,7022
140221,6360.5,1532,2074,14834.5,6176.5,12765.5,23636.5
140222,19094,1757,13661,15670.5,4689.5,8115,13357
140217,1883,966.5,2130.5,2803,1800,5322,13473
140210,988,715,688,2291.5,1178,3597,6066
140197,1836,1030,1814,5514.5,2960,8415,6933
140198,3425,1159,1884,4111,4263.5,6285,14976.5
140211,4835.5,5782,1080,1449.5,4541.5,11009,11556
140212,1947.5,1781,945,15391.5,7677.5,12472,15902
140199,4071.5,1844,1249,40678,3126,8162,26727
140213,2071,3632,1210.5,11291.5,2754,5662,16198
140200,3988,938,1292.5,2403,1490,3791,4487
140218,1315,11609.5,1331.5,2239,951,4120,14256
140225,2558,1837.5,2548,4885.5,3357,4905.5,19059.5
140223,1955,3228.5,3693.5,10813,1797,3395,5654
140201,4741,2590.5,2932,33737,9612,19209,30624
140214,4069,2470,2028.5,12466,5601,20408,9293
140239,3911.5,2920,3625.5,24467,5818,8664,25147
140219,3851,1806,1596,9067,8123,31477,22484
140202,919.5,463,495,4523.5,7339,12961,20431
140215,3565,2206,2542.5,11331,4555.5,20039,18805.5
140237,4548,2568,1928,11089.5,1849,3017,17217
140232,2533.5,3170,634,7734,2893.5,13418,17756
140203,5242,3585.5,8702,4139,7729,3808.5,16509
140216,3074.5,2106,6011,10675,2814,4672,15096
140204,2536,1271,4734,15292,5534,16701,10296
140203,3858,1752,898,3508.5,5943,6403,12662
140220,5413,1982,10834,6554,6807,7512,18967
140236,1532,1916.5,1063,19739,4046,9026,25020
140235,2673,785,1127,4017,3061,6279.5,17872
140234,6363,4764,5995,15941,9514,10688,27418
140226,2818.5,2054.5,1466,10619,1359,2285,13963
140228,5555.5,3555,8077,28548.5,4232,20488.5,27718.5
140231,2724,2441,2461,12943,3099.5,18148,36804
140227,3387.5,1018.5,1356,11506.5,2961,5184,7581
140233,4007.5,4076,3681.5,4955.5,2769.5,12018.5,9599
140230,4710,2455.5,2972,4070.5,4888,8877,17297.5
140229,3296,1546.5,1814,9383,5104,15067,7888.5
140207,14096,2553.5,6349,22968,11740,11576,28121.5
140205,2727.5,1311,2211,11689,2326.5,13009,12004
140208,7872.5,2561,6146.5,6229,1832.5,2998,9485.5
140206,2463.5,1523.5,2130.5,8221,5375.5,13935,10455
140337,5231.5,2453,4273,6707,6097,9414,23498
140296,6702,1292,1776.5,6469,3359,21861,19463
140297,2583,794.5,1288.5,11004,5548,21400,8487
140300,3583.5,603,3245,20096.5,2662,11977,8596
140304,5066.5,1073.5,1545,13016,5484,10953,24685.5
140303,1738.5,2546,821,2645,5710,20431,22760
140298,3574,785,1252,974,6728,10267.5,1657
140299,3009.5,2219.5,4502,10252,11699,8533.5,20385
140319,6447.5,15641.5,2561,15546,2450.5,8857,21146
140341,3409,3556,1355,29943.5,10328.5,22691,18090.5
140346,4402.5,2474,5091,9698,4953,17018.5,14996
140355,2376,1733.5,1526.5,16966,6676,15754,21423
140354,7193.5,14857,5334,15829,6702.5,12790,19878
140356,3810,2547,925,30093,16932,25573.5,22114.5
140357,1008.5,1786,8259,13418,3978.5,11839,6629.5
140358,5730.5,1588,2388.5,24339.5,6381,6124.5,26207.5
140359,2353,1347,1522,23637,5312,14750.5,35674
140360,5508,1453.5,10642.5,7680,8442,17664,24052
140340,2291,1128,1493.5,9966,3331.5,9142,8460
140347,3776,4553,3657.5,7564.5,6160,10418,14430.5
140345,1414,1706,4125,6007,3934,5599,10517.5
140338,2193,1113.5,4429,11070,6647,15956,10430.5
140343,12103,830,2002,6475,5011,13426,13353
140339,3801.5,2090.5,1772,50386,6108,8025,25366
140344,6124.5,4296,3180,33022,5712.5,17479.5,36158
140378,8594,7703,4469,8046,6109,7214,10382
140365,5093,1706,3154,25182,8097,17295,20477
140366,2330,3127,1552,1947.5,2927,11149,7929
140362,1937.5,3298,538,3308,4556,15195,26611
2792,3195,2052,7788,27072,7700,17180,20131
2944,4661,3729,3659,18217,10477,25274,24859
3015,1452.5,2201,663.5,13259.5,11028,13810,9777
2918,2111.5,609.5,933,5502,7261,23521,6138
2919,4598.5,2365,2767.5,10772,8548.5,19993,20650.5
3278,3508,5366.5,1489,20258.5,5642.5,9158,15555.5
2850,3661,1399.5,2030,4002,9202,15679,10983.5
2868,8730.5,2475,1454.5,5376,7594,5234,17860
2790,2780,766,952,9580,6178,22391,19981.5
2943,4113,656,926,3226.5,2858,12822.5,12611
2937,3863,1381.5,1306,6627,2816.5,9716,9893.5
2914,3771,1528,977.5,12775,2368.5,4247,19278
2884,3547,1769,1263.5,7607,6988.5,7291,16043
3289,3874,2200.5,2924,5159,7408,15032,29794
2841,4968,2061.5,1431,14602.5,10604,22864,22829
2869,1527.5,473.5,599.5,9810,1319,5913,7833
2789,2368,678,948.5,16535,8123,15784.5,16449
3018,1685,2580.5,1112.5,4621,2979,5925,6707
2932,1891,1663,1717.5,8299,4616.5,7746,22484
2927,2656,10551,580,11755,4558,11369.5,14952
2908,3825,5537,3252.5,9358,5333,16666,17525.5
3225,4284.5,731,809,11668,2076.5,11547.5,21077
2848,3847.5,3014,6376,41808,9796,29932,30981.5
2858,5681,2088,5604,12323,7614,13216,9313.5
2787,896.5,603,746,13315,6771,18379,30923.5
3019,3256,1655,1805,4563.5,3120,8666.5,18091
2931,3284,1196,617.5,4714,2984,12571,5853
2913,2189,5914.5,587.5,12133,13243,21307.5,22368
2912,4061.5,1186,1832,5270,5288.5,9733.5,17710
3281,2218.5,1003,1621.5,14088,3054,6230.5,11014
2851,5995,2570,3103,21169,5900.5,8468.5,23452
2872,6163,1490,1547,6204,1497,8060,8552
2800,2026,1350,1920.5,15453,3786,5818,12125
3016,4133,1508,1385,10019,4014,14053,23959
2928,2073,2189,1403,8597,12931.5,23383,8521.5
2924,2728.5,1198,720,6273,4960,7753.5,17503
2909,1831,2140,1595.5,19578,10585,12517.5,25343
3273,4203,1493,2563.5,9836.5,5469,18782.5,23037
2853,1540.5,5770,951,12116,20016,47527,23959
2861,2338.5,1169,963,1039,2405.5,2996,3248.5
2799,2057.5,599,989,4715.5,3024,1276.5,7114
2801,2979.5,539,484,9433,7087,10620,10459.5
2946,2903,787,1384,13318,3752,1068,14566.5
2925,2565.5,1183,1733,7509,3237,7955,30624
2878,3103,721,946.5,8126,12277,12689,15714
3285,3252,7562.5,3400,4823,4767,10188,15991
2849,5845,5395.5,9542,20293,5085,14428,15042.5
2875,4396,2950.5,2301,28387,7962,12150,31961
2797,4480,977,1168,8464,4618,14146,8475
2811,3220,9622,13029,17479,4937,17244,13928
2947,5219,1923,5127,5652,7052.5,12136,16501
2922,3094.5,16092.5,13380.5,10603,7437,12456,15066
3223,3780.5,730,1388,12818,1730.5,8776,16352
3272,4126.5,5056,634,9779,2884,10160,10903
2877,2445,1655,1874.5,12213,12491,14606.5,18943.5
2860,2317,1080,1283,11118,7370,14411,26865
2806,2957.5,1079.5,2422,15532,5354,13838,10563
2785,3387,2267,1688,12240,4554,10139,9219.5
3021,3363,1126.5,2388,7392.5,5111,17572,10560
2887,5084.5,2544.5,7813,8673,2986,12669,8867
3185,5148.5,1796,1241.5,5481,10094,18943.5,9518
3277,3620,1593,1796,4990.5,3648,2956,6278
2857,2375,3567,1540,10726,1881,8628,10410
2876,2718,469.5,489.5,12114.5,3871,7645.5,18517
2794,2792,1540.5,1628,14269,6835.5,12610,12231.5
2798,2310,710.5,1118.5,6875,1456,14912.5,11549
2881,3009,1261,2442,15609,5230.5,27026,21953
2871,2670,851,1050,1758.5,893,4443.5,3105.5
3208,2463,5189,2942,2514,4888.5,10320,9211
3282,1296,2599.5,1199,6324,1525,9865,17664
2863,3418,4840.5,2924.5,2686,2762,6471,8677.5
2859,2949,8923.5,1226.5,3618,10069,26565,25435
2807,3090,1262,1576,6994,3955,7868,13730
2929,2649.5,844.5,1789,1560,4314,11584,19958.5
2911,5617,2912,7471,13699,5631,10327,15634
2886,2242,1827,971,14150.5,4654,16420,27026
3205,4706,656,1225.5,6530,6795,16511,25620
2854,2243,5259,1676,5396,2139,6285,14346.5
2865,2591,1853,1861,1619.5,3292.5,8233,6983
3027,6058,750,748,2466,4534.5,19843,8786.5
2920,1973,871.5,1665,5556,7547,15196,13349
2917,2928,12300.5,838,17756,4061,13161,15231
2888,2183,1095,1760,7257,11638,17272,21953
3097,3713,1489.5,1269,27741,5613.5,16632,19243.5
2852,3034.5,10974,745.5,4500,6170,14352,16692
2867,2014,1296,913,3153,1397,3575,6705
534,2956,1936.5,2159,10814,5233.5,14237,6897
545,3867,7661,4720,7106,1740,17260.5,11324
556,2841,3563,4047,9870,3677.5,7652,13350
567,2692.5,964,2641,6266,2984.5,18540,10802.5
578,1842,527.5,793,1525,3627.5,11190.5,6113
602,2322.5,1432.5,1475.5,8170,2560,11106,4563
616,4568.5,1587.5,1952,13352,2368,3597.5,6816.5
627,3836,739.5,1265.5,4203,6857,10534,4942
535,2603,2930,1101,14694,11091,11254.5,14899
546,5775,638.5,560,13036,3973,14319,17223
557,4701,1555,4275,25089,1672,10935,19094
568,3604,940,729.5,7204.5,3447,15491,14886
579,2079,1803,1097,5056,1330,9135,8354
603,4135.5,1062.5,1247,3177,1631,6405.5,5376
617,1349,476,611,7667,4797,9456,18356
628,1104,721,1077,2814,2201,4227,12786.5
536,5265,890,1513.5,9059.5,2579,7499,12410
547,4164,1506.5,1302,17387,1816,7452,15865
558,4007,1452.5,1787,35005,6565,15793,29263
569,1058,4415,2233.5,7822,3507,8557,12473
580,2083.5,1703,2985.5,15510.5,1734.5,10682,5723.5
604,1781.5,686.5,1343,7379.5,7561,7611,18840
618,2432,976,1972,4864,6451.5,7648,17042.5
629,1900,1130,837,3687,3463,15558,7326
537,2338.5,1676,1941,7320.5,2231.5,18863,17964
548,2594,8785,3672.5,14190,4485,7932.5,15898
559,6377.5,1577,1991.5,19071,7059,14603,19497.5
570,3560,1240,758.5,12081.5,4853,4643.5,7997.5
591,1385,839,776.5,5830,2331.5,5473,8994
605,3270,616.5,788,12705,3480.5,5886.5,13752.5
619,1150,558,852,6104,1121,4545,6536
630,7021.5,1232,1565,1286.5,1739,7915,10433
538,2065,1564,1756,8711.5,3601,11586,13388.5
549,2050,1810,1034.5,5143,883,2121,4627
560,2222,1103,928,3690,1570.5,7598.5,7196
571,2135,1586,15107,16727,2959,10837.5,14418
592,1190,540.5,704.5,11263,2434,7264,11250
606,3264,1615,1346,7993.5,2445,10422,10963.5
620,3527.5,1175,911,4764,3280.5,11829,4927
631,2952,1737.5,2158,11000.5,8661,7091,18310
539,3501.5,1063,1109,16035,6010.5,12813,24536
550,3453,2249,3109.5,13680,3463,6201,13765
561,1444.5,1335,1638,3595.5,2930,11443,7560
572,5733.5,3002,3054,24132.5,2310.5,6733,15913
597,1887,790,706,8530,1871.5,3747,23452
607,2128,679.5,876,2424,1112.5,1590.5,3915.5
621,6821.5,1571,831,5696,5751,12709,5044
632,1957,615,825,12260,1117,14668.5,8968
540,2739,807,4032,2335,3678,1177,17825
551,1915,726.5,1780.5,8595,3013,8552,12188.5
562,687,981.5,1148,9888,3746,6729,15620
573,1366.5,985.5,967.5,6145,2242,2343.5,10269.5
584,2444.5,2310.5,1674,12116.5,2583.5,10528,8686
608,2005.5,729,933.5,19762,2570,2711,19750.5
622,2848,2755,1486.5,7456,698,6093,8741
633,2283,588,724,8531,2566.5,7893,10957
541,1940,8964,5989.5,10332,3416,6931.5,18736.5
552,4254,2230,3063.5,18217,5200,28710,29033
563,2721,937,488,10342.5,4087,3869,10489
574,2218,1951,451,3822,975.5,3628.5,9714
585,1602,1927,868,1850,1976,2450,5460
609,1462.5,573,442,10860,4128,4915.5,7878
623,2251,731,1216,4695,2473,10022,6779
634,3555.5,4886,1146,7929,1245,6423,15911
542,2441.5,3301.5,1954,25989,3803.5,14806,22668
553,1794,7159,1525,8559.5,1868.5,5517,12747
564,2345.5,936,2816,3434.5,3033.5,11018,14265
575,3128,1213,1818.5,15871.5,6432,6393.5,28548
599,1663,982,664,5056,3198,5050,8133
612,3718.5,554,1156,914,855,517,4224
624,1999,610.5,577,5500,4658,3556,7246
635,2927,822,1765,7109,5257.5,5350,9755
543,4326,749,1156.5,12971,3294,2920,17618
554,1594,625.5,997,9303,1344,8602,6909.5
565,2801,614.5,628.5,6579,1253,4408,12623.5
576,1386,840.5,1368,7913,7149,25481,5661
600,1573,647,631,3703,2122,8442.5,19970
613,4024,795.5,1154,9468,3553,6277,14113
625,2055,1522,1275,9060,1309.5,9635.5,7841
636,2533.5,1892,1711,4895,3975.5,13555,14032
544,1646,554.5,2320,14205,4239,5986,12805.5
555,1604,560.5,1434,17514.5,3122,5648.5,5009
566,1766.5,1350,924,18010,3686,18725,13404
577,1420,704,783,849,2442.5,4797.5,5929
601,693,2737,842.5,5308,1633,13735,14672
614,1375,819,516,14010,3344,10952.5,13078.5
626,1840,606,1065,10211,3371,12146.5,9203
110637,482,467,422,3401,1104.5,3893,5686
110638,2556,1865,2114,13004,8530,16626,13193.5
649,4458.5,3086.5,1771,1269,1892,3725,10323.5
707,4537,9283,4457,24628,9158.5,27568.5,38533
718,2136,390,564.5,3220,4828,8786.5,13513
731,2802,3632,1317.5,21676,8419.5,8449,16710
610,4883,10692,1659,4307,6189,6451,17595
639,3353.5,1395.5,2357,5195,5954,10876.5,10529.5
650,6025.5,1814.5,2298,21987.5,5473,6520,16355.5
708,1068,749,567,7944,3147,5691,6056
719,4429.5,2612.5,12341,8425.5,7536.5,10395,22149.5
732,8354.5,3816,4567,6186,4237,6774,20408
611,2724.5,971,1087,11121.5,9326,8140,14146
640,2790.5,2266,2647,3324,3782,8853,6677
651,5461.5,2751.5,3637.5,26750,9491,26749.5,15806
709,5547,994,1379,5375.5,7785,3954,24997
720,2948,1358,1338,3119,18079,14917,30670
733,2936,1927,4876,18805.5,2764.5,14422.5,24766
615,4686.5,3643,5453.5,9537.5,6158,17079,19785.5
641,3450.5,2608,3346.5,2043,5206,4930.5,7584.5
848,2887.5,2092,1756,4886,6521,8056,9534
710,2539,1787,2442,24374.5,8036.5,24282,12410.5
721,2737.5,1289.5,3525,9786.5,3146,3428,13162
734,3550,3673,1887,6818.5,4314,10594,10670.5
1,3198,1001,803,7108.5,2592,15487,22599
642,3157,883,1143.5,6712,3171,17687,9494
849,2291,834,740,2798,3898.5,5046,12382.5
711,3651,1230,1215,28248.5,3964,8388,38441
722,5149,2193.5,4087,16781,10604,8387,21054
735,864.5,777,809.5,9871,2391,6667,10283
U15,6021,10212,4276,11732,15546,21723,17825
643,2680,1999,2761.5,17918,6340,18228.5,18287
856,1808.5,1957,1473.5,24559,6959,18528.5,13699.5
712,1550.5,523,836,6486,6016.5,18863,16062
725,5242,1293,1708.5,7289.5,6200.5,10448,14201
736,2255,1614.5,1519,6893,4377.5,11517,20523
644,2959,3669,2618,26461.5,4249,8336.5,11726
702,5584,791,1144,7552,8369,22299,10125
713,4903.5,1227,2057,8870,5512,11245.5,18264
726,2292,1919.5,2255.5,5335.5,7508,11346.5,26611
737,6327,4229.5,1426,10365,12257,25089,17456
645,3048,1742,3279.5,7987,7439,15048.5,17744.5
703,3922,1199,1405,7910,4455.5,10748.5,12742
714,2899,1089,1821,24928,9269,12220,13617.5
727,6019,1277,1615,23959,5411.5,15342,14506.5
738,2107,5320,1685,8649,5164,13628.5,17059
646,2101,756.5,596,6462,6651,9819,2601
704,2012,13667,3110.5,1631,11667,30301,10084
715,5030,1917,4456.5,2093,3163,5470,10311
728,6401.5,4985,997,10331,12612,15225,18264
739,4980,5497,2649,7470.5,2703,11835,18287
647,3977,871,1491.5,23821,3286,8927.5,47976.5
705,5417,2672.5,2013,4288,11749,17341,17191.5
716,3226.5,771,1759,3328,2976,8659.5,11167
729,4448,1064,1525,3761,1793,4538.5,13900.5
740,5034.5,541,893.5,11540,4905.5,18079,25850.5
648,4200,2608,5458.5,9445,3392,7088,9939
706,4857,2860,3362,29079,9380,19301,26588
717,4854,879.5,806,8230,5562.5,3015.5,8816
730,8155,1440,1831.5,18148,8432.5,19370,21434.5
741,1802.5,490,467,15311,9441,25435,19797
140522,1734,1109,1310,4048,3475,12043,7790
140523,1390.5,5949,547,12203,5649,20178,15911
140481,2839.5,4425,4097.5,12107,11339.5,19036.5,19474.5
140518,4450.5,1551,5159,25389,4338,12382,15325
140519,4177,5186,1468,16315.5,4271,9559.5,15893
140522,3449,2382,2035,11919.5,10784,27418,19163
140521,4576.5,2071.5,6719.5,12547.5,7698.5,8091,19647
140520,2522,1150,710,4290.5,3248,8975,14104
140525,3562,774,1502,1959.5,2630.5,27119,12016.5
140517,2963,2460,5181,23867,6202.5,9594.5,11854
140528,7388,2051,2856.5,5836.5,3511,12526,8020
140527,2525.5,435,1132,3426,5879,13067,7102
140526,2657.5,1580.5,1951,9684.5,4413,8722.5,14403.5
140525,3135,631,1149,1701.5,2340.5,24052,10774
140531,3604,2033,2214,19970,8531.5,9757,11000
140533,2484,3142.5,4480,2394,5550,16488,7698
140532,4601,1406,956,4420,7281.5,12274,20373.5
140529,2304,840,1465,14229,7415,14145,12142.5
140524,2946.5,1662.5,1016,11983,11813.5,29863,10822.5
140530,4910,1339.5,1358,22541.5,10102,18448,25124
140534,1836,618,3959,8708,11276,8171,18379
140510,3969,2164,7326,27441,7689,19048,16871.5
140508,5902,4602.5,1795.5,32861,13967,46535,19670
140499,8706,9382.5,2111,23636.5,2273,13536,23521
140508,5940,4855,1846,33829,14852.5,47907.5,21215
140492,2883.5,1602.5,3643,12143.5,6888,900,18817
140499,5049,5122.5,1012,15874,1275,8571,15569.5
140446,3139,904.5,1333,14059,15008,10438.5,11966
140493,3078,4485.5,4280,1785,983,4076.5,5409
140494,2088.5,1285,1374.5,6497,2384,6417,7743.5
140507,2198,727,840.5,9466,8270,23417.5,16583
140511,900,1668,795.5,18010,5640.5,11523,11532
140493,5003.5,757,1081,7988,13309.5,20915,7635
140492,2446,1416.5,3200,9943,5284,780,15094
140509,5059,1715,1140,4565,4457.5,11915.5,17514.5
140494,3281,2007,2495,9588,3477.5,9196,12109
140507,2435,847,1095,7817,6282.5,21676,14579
140505,1717,784.5,1979.5,6906,4880,6358,5756
140500,2084,927.5,1405,1465.5,1948,7758,3816
140511,817,1370,752,13810,3849,8569,9061.5
140491,4783.5,1614,1082,2940.5,2289,9398,8761.5
140490,2135.5,668.5,1611,6243,2251.5,4665.5,8699.5
140489,4318,1275,2141.5,1816,4725.5,11444,18840
140484,2930,1889,3029,7972,3258,11158.5,6049.5
140488,2203,1355,861.5,6237.5,4644,13200,17141
140487,2542,396,398,10556.5,2569,7517.5,4170.5
140486,2273.5,719,824,5710,3715.5,3067,7857
140485,4568,9786,2786,10066.5,2976,11333,13585
140496,1920,611,1298.5,6587,2808,5664.5,18056
140483,2753.5,1722.5,6839,3688,7654,10699,17918
140479,3455,1620,2806,4815,4640.5,12110.5,17006
140478,2981,931.5,688,17549,2672,16596,11870
140480,2229.5,3479,14195,2736.5,4426,17825,14560
140482,2141,743.5,822,2571.5,6836,2241,16721
140443,3980,1312,1792,26888,3987,7400,22138
140477,4977.5,1450,3293,19266.5,7358,15616,25527
140450,2223,2015.5,698,5323,10578,11964,8742
140447,3212.5,4055,1611.5,14273,2160,4741,12420
140446,5020,2004,3603,20996.5,2336.5,5936.5,8049
140434,4728,1732,1907.5,19773.5,1858,4327,6158
140433,6302,2455.5,5837,12838,3115,12971.5,15471
140435,2386,3195,3935,37391.5,12012,32457,14707.5
140432,4987.5,1959,3229,15549,2477,7268,12436
140438,3491,1559.5,1611.5,8408.5,1403,10959,16361
140440,3758,5024.5,2031,4999.5,10193,16669,18828.5
140441,4696.5,1296,1413.5,12089,1931.5,3553.5,14927
140442,4241,1142,3052,8642,11068.5,27096,16260
140444,3974,1503,1252,32768,7647,12204.5,31546
140445,1752.5,561,720,5099,2225,16132.5,6520.5
140425,3006,869,1521.5,5704,2724,5624,10369
140424,3198,2403,858,6562,1900.5,9701.5,18067.5
140429,3508.5,928.5,3380,11085.5,2875.5,9058,11769.5
140430,2808,1417,1575,27165,5876.5,26542,29551.5
140431,4070,1908,1584,23844,7564,24490,14552.5
140432,4486,1600.5,2492,14635,2269.5,6459.5,11405
140420,4603,2765,1700.5,23994,4196,10626,22495.5
140419,3962,1031,857.5,18056,3575,11967.5,12640
140428,2638.5,1221,3525,10103,1767.5,4310.5,17549
140423,2085,7879.5,1501,1520.5,4221,14017,13921.5
140426,4851.5,1945,6736,6461,2891.5,3474,10836
140427,3694,3604.5,2104.5,9252,1311.5,4396.5,19532
140421,4551,9968,24029,12052,3144.5,9335.5,13773
140419,3787,997,754,18275.5,3618,11657,13025
140420,4337,2815.5,1658,24789.5,4252.5,10631,23025.5
140422,1988,1256,799,10388,4237,4378,9757
140409,1933,1372,1330,5401.5,2122,2425,4873
140410,2847.5,1814.5,5182,8129,2355,3713,14620
140411,2769.5,11138,1226.5,17318,5049.5,7688,23498
2668,4064,840,2408,4891,2340.5,10840,4583
2652,1614,615.5,713.5,13989,3501,3796.5,16874
3085,4539,1916,1046.5,11614,3907,7696.5,11549.5
3172,6327,1389,1945.5,8515,6531,20765.5,12508
3186,3366,1225.5,1108,2665,6077,16108,5679.5
3201,3934.5,1857,1229,25550,2506,6139.5,24259
2822,1019,618,763.5,2713,862,1601,4550
2846,5958.5,2986,5229.5,6679,4414,11287,9817.5
2666,2061,1687,1046,19843.5,7028,16193,11550
2553,2114,1178.5,1040,39871,8228.5,19750.5,20212.5
3098,2439,1204,2125,19463,5209,7916.5,17137
3173,1400,622.5,2106,13138,1992,729,8647
3196,1383,16771.5,562,5439,2600,10781.5,20500
3204,3927,2860.5,4410.5,11941,5028,21008,15299
2832,1086,1272.5,512.5,15575.5,4184,9584,7337
2839,2597,606,548,3870,3555.5,9260.5,5281
2665,1336,466,285.5,9003.5,4877,16262,23729
2657,2634.5,3306,1373,9001,7299,15741,8238
3102,1703,1266,1897,4394.5,5649,9472,9114
3175,3028.5,969.5,1121,9811,2138,7537,19924
3197,2649.5,1541,1948,13977.5,5313.5,10955.5,13793
3188,3950,1214,2226,5535,3145,5207,12410.5
2834,2715.5,1374.5,13905,12928,6239.5,19739,18471
2825,2358,1023,905,7407,1237,4760,5293.5
2664,3283,1596,1109.5,23406,2065.5,8211.5,27257
2651,4326.5,2546,3378,9905.5,4479,8488.5,12979.5
3096,7231,20823,4573,10192,1889,7934,10601.5
3176,2431.5,6618,1704,8570,3300,8172,13097
3199,5267,2498,2118,17129,3564,5111,6448
3209,3048,5880.5,1941,3395,3888,8384,13667.5
2821,4623,2514,1931.5,4277.5,1496,13180.5,6173
2824,3639,1092.5,1073,13702,3517,11959,21331
2662,3268,1438.5,3723.5,16438,5718,17150.5,21204
3030,3190,1218,1951,6221,3765,17848,13107
3123,2587.5,1021.5,1863,3101,2743,6302,4335
3177,2097,1020,3287,8594,5187,22991,12783.5
3198,2636.5,569,1452,10003,3843,6956,22507
3224,2759,9632.5,5612,9552.5,3420,11690,20316
2818,3157,772,1285,5357,6967.5,14108.5,18228.5
2835,3152.5,1203,2866,7222,8900,26138.5,19140
2659,4049,1456,1377,15554,3079,11979.5,4744
3073,5665,1229,6737,6113.5,2219,17537.5,3326.5
3128,2122,2318.5,2793,4357,4023,6547,11096
3178,2837,1249,1930,14125,2763,2928.5,8617.5
3174,2137,1468,1046.5,4486.5,2712.5,5948,11178
2813,5340,1820,1316.5,11051,4258,7374.5,11832
2820,5730,3721,1346.5,8735.5,9476,8378,13585
2830,1578,2028,1493,7168.5,5844,6291,13153.5
2660,2472.5,603,1811.5,4570,6453,9322,12601
3076,2486,601.5,4169.5,3747,6722,4105.5,9145
3129,7384.5,985,1761,5808,4405,6658,10577
3180,939.5,798.5,435,5691,3093,8692,10817.5
3183,5407,600.5,974,6739,4975,9729.5,11165
2804,3212,2136,2605,23244,5973,17560.5,18240
2817,2562.5,780.5,1446.5,10604,588,3130,5923
2840,3536.5,1142,1637,5872.5,6393,25112,13269
2663,1428.5,603.5,756.5,18725,10162,20926.5,14148
3077,2671,3155,713.5,15876,6161,12952,18563
3130,1283.5,1708,627,4474,4048.5,14605.5,13790
3181,2816,870.5,1366,4790,5017,5307,14337
3072,1976,840,1321,1057,3131,2549,6359
2802,4404,905,1619,20823,709.5,1136,14376
2828,1796,2479,842.5,12065,1015,8703.5,5341
2829,6071.5,917,1410,7832,2256,1732,13357.5
2661,2268.5,1662,3663,10538.5,5876,19439.5,17664
3083,2411.5,2418,1457,13574.5,3387,10854,18275.5
3143,3521,726.5,1141.5,13855.5,5242,13950.5,18517
3184,5590.5,700,662,11532,7182.5,10816,10955
3200,3525,1237,1152,10489,1785,2888.5,7735
2815,3019,1343,1667,4880.5,3862,19001,19924
2827,2562,1913,2486.5,14535.5,5400.5,8846,10785
2838,2477,554,1237,3083.5,2438.5,4457,6821
2667,2208,560,461,14972,3631,20511.5,10942.5
3075,6416,3229,1399,16580.5,2810.5,5612,17433
3171,3844,2358,6525,4949.5,6134,12541,12309
3182,2710.5,620,1215,9739.5,2618.5,6738,19324
3202,4090.5,5000,562,7619,1898.5,5544,15626
2814,1506,1813,793,13388,2302.5,6768,14939.5
2845,2269,882,623,7886,1471,1838,5691
2831,3165.5,909,1297,12068,2609,3612,10939
2649,1085,999.5,367,19140,2338.5,5611.5,9166
3094,2586,532,952,4946,2022,840.5,5344
3131,1128,651,884,17629.5,5660.5,8802,13247
3187,1947.5,867,1463,15642,3508,10438,21653
3203,3673.5,755,951,16894,3263,9277,20201
2810,4581,1805.5,1696.5,4271,3771,3554,32515
2826,1407,990,5831,3465,3132,5541,5816
2837,2719,1512,1687,2521,3940.5,3844,19393
140403,3268,1130,1771,3727,4046,14180,7640.5
140279,5113,1675,2774,38026,15703.5,20673.5,24052
140273,4006,1006,2389,15060,7460,16003,15513
140262,4072.5,1534,6434,5006,5109,13995,13300.5
140251,3285,1965.5,1643.5,15288.5,3595,6714,8448
