Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
COVID-267,2885,5007,1099,49325,15850.5,4527,18482.5
COVID-160,2781.5,908.5,1568,5741,2475,8553,23221
COVID-161,2981.5,985.5,1359,4333.5,7889,8611,14901
COVID-1,1915,10834,858,1363.5,3267.5,16007.5,22991
COVID-12,4616.5,2820,4581,22691,2005,3532,12362
COVID-23,4378,1483.5,1036,9976.5,2000,5399,15334.5
COVID-46,3434.5,1350.5,1525,18298.5,1711,3695.5,15182
COVID-55,5779.5,2393.5,2870,5643,1570,13751.5,8119.5
COVID-66,3379.5,3108,3641,11003,8960,10604.5,15550
COVID-77,1940,3126,1964,3803.5,3658,11175.5,21249.5
COVID-88,2367,1468,786,10069,2877,12266,19094
COVID-2,13432,7627,2040.5,2853,11178,18310,17572
COVID-13,4583,1495,2017,2433,1872,11144,9326
COVID-24,6372,2882,1115.5,4246,1372,2701,7240
COVID-56,1558,966,4312,16716.5,5611,22922,18851.5
COVID-67,2956.5,3040,5169.5,16977,2854,6955,22322
COVID-78,2700,7605,3740,8922,1766.5,7709,24052
COVID-89,3463,7264,1917,11506,3895,11668,20154
COVID-3,5823.5,2015,2272.5,11264,4720,4876,20685
COVID-14,2638.5,469.5,1099.5,5368.5,2300.5,2347.5,6556.5
COVID-25,2017,542,916,5617,1735.5,10247,9166.5
COVID-57,5663.5,2794.5,5303,23567,3798,14359.5,27695
COVID-68,2892.5,1106,650,8821,1995,4930.5,8985
COVID-79,3305,4506,2219,17334,3159,17381,25689
COVID-90,3962,4434.5,3337,7392,1926,1811,8203.5
COVID-4,2852,187,174.5,2184,740.5,2042.5,2133
COVID-15,2174.5,1950,1747.5,6428.5,3349.5,1497,14529
COVID-26,3560,799,947.5,10965,7717,7402.5,5517
COVID-47,2979,1367,1109,2044,7422,16385,20396.5
COVID-58,3421.5,1485,3233,11802,4790,14436,10992
COVID-69,1921,8699.5,934,5273.5,5394,2824,14807.5
COVID-80,1818.5,2119,858,3666,1200.5,8275,10412
COVID-96,3404,1105,881,4811.5,3979,17606.5,14640.5
COVID-5,2199,909,1225.5,4686,719,651,19647
COVID-16,4894,2374,2972,3115,3086,10392,11948
COVID-27,3503.5,2860,2511,14179.5,3697.5,13090,7022
COVID-48,7505,5060,4326,13243,1965,7288.5,21722.5
COVID-59,2926,1361,982,3463,2037.5,10899,16530.5
COVID-70,2461.5,3259,4636.5,2891,6340,14079,16448
COVID-81,2567,986,1173.5,6095.5,5069,18656,8166
COVID-97,5338,639,728.5,5645,2003,17321,5408
COVID-6,5134,3418,3236,22518.5,2675,9032,20985
COVID-17,7222.5,751,1565.5,13947.5,2725,13092,24052
COVID-40,2851.5,1116,911,2254,3090,8299.5,19947
COVID-49,2095,1761,2367.5,36700,7954,11190,22253
COVID-60,1492,720.5,1158,5093,3880.5,14243.5,13574.5
COVID-71,3822,3990,1746.5,5721,2777,4134,9438.5
COVID-82,1959,647,772,2080.5,6276.5,15501,8789
COVID-98,1574,1319,1409.5,26196,1406,14251.5,19266.5
COVID-7,3835,1262,2441,14969,1981.5,7982,10463
COVID-18,649,631,1858,28283.5,169,262,10754
COVID-41,8894.5,822,1317.5,12353,4597,16577,20085
COVID-50,4075.5,1399,1549.5,4041,5527,10370,22714
COVID-61,4356.5,734.5,1341,5448,3720,10701.5,9007
COVID-72,5356,2781.5,3107.5,6310,2754,3464,20961.5
COVID-83,1417,7812.5,877,1296,2491,15871,11683
COVID-551,2635,1574,1478,8107,3195,6084,7472
COVID-8,5102.5,1125,974,9181,4102.5,17131,26727
COVID-19,2686,760,923.5,17918,2313,4233,15533
COVID-42,3190,1673,555,942,1270,4948.5,9412
COVID-51,5192.5,2782,2616.5,8285.5,8476.5,10085,13490
COVID-62,2226.5,807.5,1373.5,3785,761,2669,11430.5
COVID-73,1829,922,1301.5,18448,4029.5,8005,25181.5
COVID-84,2524.5,556,1252,7924.5,3406.5,6116,10717.5
COVID-552,2317,1858.5,2027.5,6948,6229.5,17941,13784.5
COVID-9,1896,1347.5,968,3579,11414.5,37265,12770
COVID-20,1367,21492,999,1232.5,1724,4344.5,22253
COVID-43,2882,1993,2389.5,5197,2609.5,6986,18551.5
COVID-52,3443.5,1308.5,2911.5,7159,4218,10483,20085
COVID-63,4317,1187.5,1316,2080,1278,11205.5,18586
COVID-74,1805,937,771.5,4314.5,4504,11608,20039
COVID-85,3618,1913,2997.5,13583,7909.5,13446,18321.5
COVID-553,3359,737,849,17618,867.5,5344.5,19716
COVID-10,3795.5,1449,3951,1022,2895,2547,10480.5
COVID-21,1715,577,1145,4362.5,1272,5344,17444.5
COVID-44,3600.5,1555,2253.5,9393,2756.5,8744,13828.5
COVID-53,918,2019.5,893.5,7448,4999,18287,14570
COVID-64,2668,2230,3709,2329,4458,4781,11758
COVID-75,2433,6315.5,1933.5,7185,1450,6667,21618.5
COVID-86,1697,850,3641,6261,5019,25966,12996
COVID-554,3909,5044.5,3192,3020,2872,8096.5,18932
COVID-11,1440.5,4958,995,5474,2891,17037.5,16158
COVID-22,2511.5,6075,1094,12952.5,3815,10695,14918
COVID-45,1119,2144,567,6734.5,1131,6522,18102
COVID-54,3678,1672.5,1913,2775,7130,18667.5,17998.5
COVID-65,5119,6027.5,3347,3379.5,3123,6629.5,13085
COVID-76,1363,909.5,3667,1417,2388,6855,13544
COVID-87,9383.5,2981,3697.5,1897,3093,4824,12755
COVID-555,2222.5,1640,1653,11643,1603,8512,11276.5
COVID-125,3156.5,1513,969.5,4034,1424,7144,15647
COVID-135,1051,437,2385,829.5,322,1933,3352.5
COVID-146,5105.5,1127.5,1108.5,8555,9721,11720,19670
COVID-274,3883,6337,1218,9289,4538.5,8948,38141
COVID-559,2963.5,14628.5,2490.5,20615.5,5234,5707,31373.5
COVID-570,2055,1842.5,1368,30186,5541,20385,24951
COVID-126,4075.5,908,1481,13536,3901.5,10612,17074
COVID-136,2264.5,618,803,8306,3218,5816,14141
COVID-147,3362,6067,860.5,21630,6280.5,17236,23394.5
COVID-275,1326,913,974,2560,4595,5991,7487.5
COVID-560,10024,795.5,846.5,11483,9423,27441,18794
COVID-571,1554,3032,5408,18574.5,2527,6591.5,14325.5
COVID-127,2246.5,5244,1012,2238,7228,43676,22022
COVID-137,1585.5,6844,1512,4600,4563,10601.5,16282.5
COVID-148,779.5,2013,1808.5,20938.5,2580,16766,22045
COVID-276,3082,5589.5,1270,1415,2716,16026.5,14204
COVID-561,5673.5,2941,1378,22702.5,7213,11631,26046.5
COVID-572,4851,674,1048,3636,7119.5,26473,11155
COVID-128,4513,3102.5,2072,15488.5,3203,8148.5,23706
COVID-138,5644,2119,1836,18794,6648,7413,26335
COVID-149,2101,1873.5,962,3250,2131,7744.5,17368
COVID-277,2237,2473,485,6457,5222,13448,9057.5
COVID-562,3443.5,13374,1648,4321.5,6403,10382,25435
COVID-573,1378.5,2196.5,1070.5,5469.5,1588,10087,13553
COVID-129,2451,1061,1304.5,17017,10289,12551,12165
COVID-139,2277,1256.5,1039.5,3661,7288,19440,16264
COVID-150,2875,663,892,8087,6360,7086,6855
COVID-278,2583.5,2770.5,1575,9670.5,2889,8506.5,20754
COVID-563,1378,2586.5,1131,33160,1697,5856,14510
COVID-574,2731.5,7582,1460.5,6095,4977,7909,14021.5
COVID-130,1320,466.5,384,13142.5,5705.5,6908,11809
COVID-140,5274,1133,1704,13783,3028,5914,7374
COVID-268,4323.5,7423,5417,15332,6774.5,23314,17618
COVID-279,2460,6620,1117,14378.5,1143,6189,12991.5
COVID-564,1688,17158,1551,17139,4821.5,11165.5,26657
COVID-575,2701,1138,1070,4843,2699,3563,10604.5
COVID-124,1899.5,1126,918,1173,1967,5992,4888
COVID-141,3384,1169,1570.5,2283,4500,11344,16583.5
